permutation,context_only_macro_f1,context_only_balanced_accuracy,context_only_macro_pr_auc,ppg_plus_context_macro_f1,ppg_plus_context_balanced_accuracy,ppg_plus_context_macro_pr_auc,macro_f1_delta,balanced_accuracy_delta,macro_pr_auc_delta
1,0.4401294498381877,0.5,0.4815086448525101,0.47894643595346365,0.4878775834658188,0.4940333873559385,0.03881698611527595,-0.012122416534181224,0.012524742503428388
2,0.4401294498381877,0.5,0.5112108312602075,0.5094955330872519,0.5100357710651828,0.48592700208008044,0.06936608324906424,0.01003577106518283,-0.02528382918012706
3,0.4401294498381877,0.5,0.48352778595129275,0.4980016424856283,0.5001987281399046,0.4905034357962721,0.05787219264744059,0.0001987281399046248,0.006975649844979337
4,0.4401294498381877,0.5,0.5267889058332249,0.5480463425715584,0.5456081081081081,0.5009790626820707,0.10791689273337068,0.045608108108108114,-0.0258098431511542
5,0.4383116883116883,0.4963235294117647,0.5972595347120002,0.48238031914893614,0.48668521462639114,0.5233082822956278,0.044068630837247824,-0.00963831478537358,-0.07395125241637246
6,0.4401294498381877,0.5,0.524303444382306,0.5424248836225137,0.5407392686804452,0.536252169937296,0.10229543378432604,0.040739268680445195,0.011948725554989936
7,0.4401294498381877,0.5,0.4791818498961714,0.44979554747841893,0.45965818759936405,0.48464299345168094,0.009666097640231242,-0.040341812400635946,0.005461143555509529
8,0.4401294498381877,0.5,0.5180563078013329,0.47575757575757577,0.4842011128775835,0.4987089300961221,0.035628125919388076,-0.015798887122416505,-0.019347377705210833
9,0.4401294498381877,0.5,0.47459755607494825,0.5241218789674144,0.5235492845786964,0.5561877061171139,0.08399242912922666,0.023549284578696428,0.08159015004216563
10,0.4401294498381877,0.5,0.47868177189914946,0.4032849712565015,0.41424880763116056,0.5161718990834349,-0.03684447858168621,-0.08575119236883944,0.037490127184285404
11,0.4401294498381877,0.5,0.5301525593994332,0.48215996168582376,0.49155405405405406,0.47780233546482,0.042030511847636065,-0.008445945945945943,-0.052350223934613194
12,0.4401294498381877,0.5,0.49021513139957423,0.4663189186157384,0.4731717011128776,0.481063049662818,0.026189468777550684,-0.026828298887122404,-0.009152081736756246
13,0.4401294498381877,0.5,0.5287144717373317,0.4694457064970468,0.4768481717011129,0.4901569971727602,0.02931625665885912,-0.023151828298887123,-0.03855747456457148
14,0.4401294498381877,0.5,0.5152457636640746,0.5169449767314536,0.5173887122416534,0.5211404290250881,0.07681552689326587,0.017388712241653392,0.0058946653610134625
15,0.4653804393218074,0.5098370429252782,0.5930135391202828,0.5402468552530562,0.5394475357710652,0.5396479118333977,0.07486641593124876,0.029610492845786984,-0.0533656272868851
