predictor_set,repeat,fold,validation_participants,macro_f1,balanced_accuracy,macro_pr_auc,ELEVATED_FASTING_RANGE_sensitivity,ELEVATED_FASTING_RANGE_specificity,ELEVATED_FASTING_RANGE_pr_auc,ELEVATED_FASTING_RANGE_f1,NORMAL_RANGE_sensitivity,NORMAL_RANGE_specificity,NORMAL_RANGE_pr_auc,NORMAL_RANGE_f1
ppg_only,1,1,35,0.5138888888888888,0.5178571428571428,0.5898878533910961,0.2857142857142857,0.75,0.2978039420896563,0.25,0.75,0.2857142857142857,0.8819717646925359,0.7777777777777778
ppg_only,1,2,35,0.6759259259259259,0.6759259259259259,0.6649367263074306,0.5,0.8518518518518519,0.41566558441558443,0.5,0.8518518518518519,0.5,0.9142078681992769,0.8518518518518519
ppg_only,1,3,35,0.48043184885290147,0.48842592592592593,0.6149715965173266,0.125,0.8518518518518519,0.3321348424966846,0.15384615384615385,0.8518518518518519,0.125,0.8978083505379686,0.8070175438596491
ppg_only,1,4,34,0.5310344827586206,0.5343915343915344,0.5241451170696382,0.14285714285714285,0.9259259259259259,0.23202246338892302,0.2,0.9259259259259259,0.14285714285714285,0.8162677707503534,0.8620689655172413
ppg_only,1,5,34,0.5119617224880383,0.5158730158730158,0.6312581346897012,0.14285714285714285,0.8888888888888888,0.3396570820483864,0.18181818181818182,0.8888888888888888,0.14285714285714285,0.9228591873310159,0.8421052631578947
ppg_only,2,1,35,0.5537340619307832,0.5535714285714286,0.6592927223812097,0.14285714285714285,0.9642857142857143,0.40267898767898763,0.2222222222222222,0.9642857142857143,0.14285714285714285,0.9159064570834319,0.8852459016393442
ppg_only,2,2,35,0.5726970033296338,0.5763888888888888,0.6313593158449416,0.375,0.7777777777777778,0.38889990444338274,0.35294117647058826,0.7777777777777778,0.375,0.8738187272465006,0.7924528301886793
ppg_only,2,3,35,0.4262295081967213,0.48148148148148145,0.6950117391901441,0.0,0.9629629629629629,0.461639014580191,0.0,0.9629629629629629,0.0,0.9283844638000973,0.8524590163934426
ppg_only,2,4,34,0.494047619047619,0.4973544973544973,0.6267960685500532,0.14285714285714285,0.8518518518518519,0.3438688123470732,0.16666666666666666,0.8518518518518519,0.14285714285714285,0.9097233247530332,0.8214285714285714
ppg_only,2,5,34,0.5913461538461539,0.6031746031746031,0.5736770890441145,0.42857142857142855,0.7777777777777778,0.27258613566884243,0.375,0.7777777777777778,0.42857142857142855,0.8747680424193867,0.8076923076923077
ppg_only,3,1,35,0.5535714285714286,0.5535714285714286,0.5569286175786006,0.2857142857142857,0.8214285714285714,0.3234342012667135,0.2857142857142857,0.8214285714285714,0.2857142857142857,0.7904230338904877,0.8214285714285714
ppg_only,3,2,35,0.5537340619307832,0.5625,0.7434142570539591,0.125,1.0,0.560364225781846,0.2222222222222222,1.0,0.125,0.9264642883260723,0.8852459016393442
ppg_only,3,3,35,0.5748987854251012,0.5694444444444444,0.6310261346053792,0.25,0.8888888888888888,0.3650383972752394,0.3076923076923077,0.8888888888888888,0.25,0.897013871935519,0.8421052631578947
ppg_only,3,4,34,0.494047619047619,0.4973544973544973,0.5953521861587161,0.14285714285714285,0.8518518518518519,0.3083139083139083,0.16666666666666666,0.8518518518518519,0.14285714285714285,0.8823904640035238,0.8214285714285714
ppg_only,3,5,34,0.5686274509803921,0.5846560846560847,0.6125678680562594,0.42857142857142855,0.7407407407407407,0.3083672934056566,0.35294117647058826,0.7407407407407407,0.42857142857142855,0.9167684427068621,0.7843137254901961
ppg_only,4,1,35,0.5333333333333333,0.5357142857142857,0.5188444379430964,0.2857142857142857,0.7857142857142857,0.22188620902906617,0.26666666666666666,0.7857142857142857,0.2857142857142857,0.8158026668571267,0.8
ppg_only,4,2,35,0.6224961479198767,0.6064814814814814,0.6774659713111119,0.25,0.9629629629629629,0.4513320707070707,0.36363636363636365,0.9629629629629629,0.25,0.903599871915153,0.8813559322033898
ppg_only,4,3,35,0.4642857142857143,0.4699074074074074,0.624838268667901,0.125,0.8148148148148148,0.3333834670231729,0.14285714285714285,0.8148148148148148,0.125,0.9162930703126291,0.7857142857142857
ppg_only,4,4,34,0.5502645502645502,0.5502645502645502,0.6170929004485141,0.2857142857142857,0.8148148148148148,0.3375407000407,0.2857142857142857,0.8148148148148148,0.2857142857142857,0.8966451008563281,0.8148148148148148
ppg_only,4,5,34,0.494047619047619,0.4973544973544973,0.6245239571154027,0.14285714285714285,0.8518518518518519,0.32396857528436473,0.16666666666666666,0.8518518518518519,0.14285714285714285,0.9250793389464407,0.8214285714285714
ppg_only,5,1,35,0.48043184885290147,0.4821428571428571,0.6023805287202227,0.14285714285714285,0.8214285714285714,0.2963032581453634,0.15384615384615385,0.8214285714285714,0.14285714285714285,0.9084577992950821,0.8070175438596491
ppg_only,5,2,35,0.6428571428571428,0.6319444444444444,0.6649828221868598,0.375,0.8888888888888888,0.4253216690716691,0.42857142857142855,0.8888888888888888,0.375,0.9046439753020505,0.8571428571428571
ppg_only,5,3,35,0.6693657219973009,0.650462962962963,0.756940066315893,0.375,0.9259259259259259,0.5881321225071225,0.46153846153846156,0.9259259259259259,0.375,0.9257480101246633,0.8771929824561403
ppg_only,5,4,34,0.5952380952380952,0.5873015873015872,0.6651028735417448,0.2857142857142857,0.8888888888888888,0.4099883449883449,0.3333333333333333,0.8888888888888888,0.2857142857142857,0.9202174020951446,0.8571428571428571
ppg_only,5,5,34,0.572027972027972,0.5687830687830688,0.590113534896324,0.2857142857142857,0.8518518518518519,0.35387923516002334,0.3076923076923077,0.8518518518518519,0.2857142857142857,0.8263478346326247,0.8363636363636363
