variant_policy,split,retention,rows
raw_anchor__report_only,train,1.0,16652
raw_anchor__report_only,validation,1.0,5386
bp_0p5_8_zscore__report_only,train,1.0,16652
bp_0p5_8_zscore__report_only,validation,1.0,5386
bp_0p5_8_zscore__soft_weight,train,1.0,16652
bp_0p5_8_zscore__soft_weight,validation,1.0,5386
bp_0p5_8_zscore__hard_exclude_bottom_train_decile,train,0.8998919048762911,16652
bp_0p5_8_zscore__hard_exclude_bottom_train_decile,validation,0.9177497215001856,5386
bp_0p7_4_robust__report_only,train,1.0,16652
bp_0p7_4_robust__report_only,validation,1.0,5386
bp_0p7_4_robust__soft_weight,train,1.0,16652
bp_0p7_4_robust__soft_weight,validation,1.0,5386
bp_0p7_4_robust__hard_exclude_bottom_train_decile,train,0.9000720634158059,16652
bp_0p7_4_robust__hard_exclude_bottom_train_decile,validation,0.9177497215001856,5386
bp_0p5_8_zscore__train_participant_robust_scale,train,1.0,16652
bp_0p5_8_zscore__train_participant_robust_scale,validation,1.0,5386
selected__large_circular_shift_control,train,1.0,16652
selected__large_circular_shift_control,validation,1.0,5386
