feature,method,pooled_n,pooled_correlation,participant_count,participant_mean,participant_median,participant_iqr,participant_min,participant_max
history_window_count,pearson,22038,-0.0015419057676566816,12,-0.006183833822271408,-0.00867270073957964,0.014021294592998723,-0.039430591151611565,0.01613640864093087
history_window_count,spearman,22038,-0.0071647801949865685,12,-0.0026601872107975652,-0.00675268163324437,0.01681842334599375,-0.05634914811887208,0.04654933244521698
history_mean_mean,pearson,22038,0.009557614884849769,16,0.008788700109160857,0.013247922418630341,0.04132751903195561,-0.03667612476854518,0.0415940461365668
history_mean_mean,spearman,22038,0.007790033741219113,16,0.003863137658475825,0.003975126851154277,0.026974273507615186,-0.04308526085580702,0.049205769569238146
history_mean_std,pearson,22038,0.004442948223526113,16,0.008665266257275988,0.021460335357931525,0.06128976923268029,-0.17372851240974463,0.1552610308351534
history_mean_std,spearman,22038,0.005085255286629724,16,-0.009527349426103338,0.010786264056855267,0.05245057790313536,-0.2012546912520506,0.11385078846874903
history_mean_min,pearson,22038,-0.006466514093823255,16,-0.01036091299879804,-0.016211899261996218,0.07390743243363204,-0.19153549745829507,0.175843502939506
history_mean_min,spearman,22038,2.3162658855008785e-05,16,0.007491705970310819,-0.005009046545292197,0.045294381900113964,-0.11615354382215125,0.18907071638910622
history_mean_max,pearson,22038,0.008070934016301353,16,0.011642509231498125,0.02198691205478029,0.046412797664832355,-0.1311368526648388,0.1267980304599214
history_mean_max,spearman,22038,0.002294356931109352,16,-0.007960905707360305,0.008880702032674584,0.04901379176037609,-0.17181846227843467,0.09946158645924458
history_mean_last,pearson,22038,0.002326923363748547,16,-0.0011122573993090877,0.00635902788442038,0.0462807258459154,-0.054691620352488736,0.03535969531440906
history_mean_last,spearman,22038,-0.0013584901972784338,16,-0.004522218040006999,0.006415985336801064,0.03968937856135482,-0.0678858083631945,0.05018450249875095
history_std_mean,pearson,22038,0.00011329915294158587,16,-0.008477983640827285,0.012335751602391249,0.08008132428551146,-0.22485237808387543,0.11518566285671376
history_std_mean,spearman,22038,0.00403350621827452,16,-0.014415401324939486,0.0028733862627819446,0.0799271782106786,-0.22653792366721553,0.093334584779978
history_std_std,pearson,22038,0.007802863875930572,16,0.0018584506174716565,0.016387343726024826,0.0639336168873865,-0.1596610605418218,0.11466476906644461
history_std_std,spearman,22038,-0.009386104161992806,16,-0.022037982676341716,0.006873853776172016,0.09212311913631188,-0.19737802520328915,0.14933187667528616
history_std_min,pearson,22038,-0.007590563133186608,16,-0.01489745818034087,-0.004880157708176476,0.06885774360058838,-0.12035010230845905,0.034573542400762936
history_std_min,spearman,22038,0.0046684217835880415,16,-0.002366155852601536,-0.007595599546476002,0.07863050853759837,-0.10437245227775839,0.0752101258831509
history_std_max,pearson,22038,-0.0029864202931736508,16,-0.008981826302360742,0.002864412064469323,0.04498023952998995,-0.1688802698605331,0.07857464529598979
history_std_max,spearman,22038,-0.008576968914846978,16,-0.023297974582979497,-0.01482851463702938,0.08864444770680437,-0.1854576289776982,0.14302535177982936
history_std_last,pearson,22038,0.030203539974158384,16,0.027521007176434974,0.03089433143509293,0.08243460883402456,-0.05318633919095527,0.08984447597828574
history_std_last,spearman,22038,0.026295785193180113,16,0.0244935730478543,0.02694007558069001,0.0751118202046728,-0.04283312069485674,0.09515064742265013
history_min_mean,pearson,22038,-0.0024192601524666334,16,0.0014790977666099782,-0.019889556087904346,0.07306280440035318,-0.1250622267452674,0.20285456784956893
history_min_mean,spearman,22038,0.002234051877206706,16,0.016664642098075836,-0.008158731348278991,0.07144105681863103,-0.12643455747183935,0.24512628083167512
history_min_std,pearson,22038,0.007683514574836875,16,0.0014905694982833024,0.014135169282162786,0.06390408832919067,-0.1315036376412985,0.10029047849352489
history_min_std,spearman,22038,-0.01019116132769708,16,-0.016846947416325697,-0.0012411563230087918,0.0951281004882008,-0.17745429815045213,0.10583398599432979
history_min_min,pearson,22038,-0.0003538112823191165,16,0.007965034764103061,-0.007745144483227495,0.061132823707193994,-0.0745282453180206,0.14156830920045524
history_min_min,spearman,22038,0.009024080228032031,16,0.018012075375519673,-0.007585605394834306,0.09597690737344634,-0.06901274804467825,0.16469546338662427
history_min_max,pearson,22038,0.01596280864360486,16,0.02049827629034534,0.011475134312423349,0.0558413867457872,-0.032092989814450745,0.11260234254068097
history_min_max,spearman,22038,-0.004869666143374248,16,0.003961687915370298,0.006422005419020585,0.038550211467052675,-0.08420779449510361,0.05772667970791962
history_min_last,pearson,22038,-0.03155777204011298,16,-0.030634856689107103,-0.03219063749471364,0.06131711607163319,-0.10374420630078948,0.038736109546317316
history_min_last,spearman,22038,-0.024481703397548873,16,-0.023152373977095998,-0.03634174503549219,0.07584444871568417,-0.1253820194003067,0.08533745792165479
history_max_mean,pearson,22038,0.0029213076453569876,16,-0.0012309100131940674,0.02090355092586101,0.06246063643352617,-0.21607291668281434,0.12141416906580817
history_max_mean,spearman,22038,-0.0012760145037668722,16,-0.017496969256861127,-0.0008529627901649238,0.07201761953016375,-0.2399306235987461,0.1276211688218658
history_max_std,pearson,22038,0.005690617289957768,16,0.00324098798884078,0.014317054472816676,0.029534377168060996,-0.13431667555816723,0.07393093830995412
history_max_std,spearman,22038,-0.010584056745810935,16,-0.02044101226817989,-0.008594817317101162,0.06546220776905545,-0.1989550813223022,0.11633783702157617
history_max_min,pearson,22038,-0.01537195974133292,16,-0.021195576807119906,-0.028704628725483912,0.04847614369726311,-0.09058111287970812,0.03405637133069899
history_max_min,spearman,22038,0.002328724708612635,16,-0.006279146277647567,-0.013005517763067933,0.04422148866950688,-0.06437922689497677,0.07775152599118429
history_max_max,pearson,22038,-0.00540544554472146,16,-0.00799780965546771,0.004861254224592456,0.05202240013088487,-0.13062837922441814,0.05685411710767129
history_max_max,spearman,22038,-0.009368630878052148,16,-0.020850892341094156,-0.0013420819680839563,0.07298825522745929,-0.1996376241065205,0.11824869664608427
history_max_last,pearson,22038,0.03151131462269285,16,0.030297289511072516,0.02589273363305336,0.06204845459983645,-0.0536858357822233,0.10033440362762829
