split,feature,threshold,count,fraction,median,p95
train,history_flat_fraction_mean,0.01,286,0.01717511410040836,0.0007154149848526333,0.007004001024544917
train,history_flat_fraction_mean,0.05,0,0.0,0.0007154149848526333,0.007004001024544917
train,history_flat_fraction_mean,0.1,0,0.0,0.0007154149848526333,0.007004001024544917
train,history_flat_fraction_std,0.01,0,0.0,0.0007552506452489184,0.004004559795988135
train,history_flat_fraction_std,0.05,0,0.0,0.0007552506452489184,0.004004559795988135
train,history_flat_fraction_std,0.1,0,0.0,0.0007552506452489184,0.004004559795988135
train,history_flat_fraction_min,0.01,32,0.0019216910881575786,0.0,0.0010422094841063053
train,history_flat_fraction_min,0.05,0,0.0,0.0,0.0010422094841063053
train,history_flat_fraction_min,0.1,0,0.0,0.0,0.0010422094841063053
train,history_flat_fraction_max,0.01,3276,0.1967331251501321,0.003126628452318916,0.017196456487754037
train,history_flat_fraction_max,0.05,0,0.0,0.003126628452318916,0.017196456487754037
train,history_flat_fraction_max,0.1,0,0.0,0.003126628452318916,0.017196456487754037
train,history_flat_fraction_last,0.01,621,0.03729281767955801,0.0005211047420531526,0.008858780614903595
train,history_flat_fraction_last,0.05,0,0.0,0.0005211047420531526,0.008858780614903595
train,history_flat_fraction_last,0.1,0,0.0,0.0005211047420531526,0.008858780614903595
validation,history_flat_fraction_mean,0.01,68,0.012625324916450055,0.0006712535660345695,0.006747864795400147
validation,history_flat_fraction_mean,0.05,0,0.0,0.0006712535660345695,0.006747864795400147
validation,history_flat_fraction_mean,0.1,0,0.0,0.0006712535660345695,0.006747864795400147
validation,history_flat_fraction_std,0.01,0,0.0,0.000707520455195004,0.004018994243808989
validation,history_flat_fraction_std,0.05,0,0.0,0.000707520455195004,0.004018994243808989
validation,history_flat_fraction_std,0.1,0,0.0,0.000707520455195004,0.004018994243808989
validation,history_flat_fraction_min,0.01,0,0.0,0.0,0.0005211047420531526
validation,history_flat_fraction_min,0.05,0,0.0,0.0,0.0005211047420531526
validation,history_flat_fraction_min,0.1,0,0.0,0.0,0.0005211047420531526
validation,history_flat_fraction_max,0.01,972,0.1804678796880802,0.003126628452318916,0.016675351745700884
validation,history_flat_fraction_max,0.05,0,0.0,0.003126628452318916,0.016675351745700884
validation,history_flat_fraction_max,0.1,0,0.0,0.003126628452318916,0.016675351745700884
validation,history_flat_fraction_last,0.01,189,0.035090976606015595,0.0005211047420531526,0.008858780614903595
validation,history_flat_fraction_last,0.05,0,0.0,0.0005211047420531526,0.008858780614903595
validation,history_flat_fraction_last,0.1,0,0.0,0.0005211047420531526,0.008858780614903595
